Year,In_Bands,Tree,Accuracy
1990_1992,Spectrum_Normalize,115,0.9486692015209125
1990_1992,Spectrum_Normalize,116,0.9448669201520913
1990_1992,Spectrum_Normalize,117,0.9448669201520913
1990_1992,Spectrum_Normalize,118,0.9467680608365019
1990_1992,Spectrum_Normalize,119,0.94106463878327
1990_1992,Spectrum_Normalize,120,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,1,0.8973384030418251
1990_1992,Spectrum_Normalize_Fourier,2,0.8821292775665399
1990_1992,Spectrum_Normalize_Fourier,3,0.9125475285171103
1990_1992,Spectrum_Normalize_Fourier,4,0.9258555133079848
1990_1992,Spectrum_Normalize_Fourier,5,0.9277566539923955
1990_1992,Spectrum_Normalize_Fourier,6,0.9315589353612167
1990_1992,Spectrum_Normalize_Fourier,7,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,8,0.9372623574144486
1990_1992,Spectrum_Normalize_Fourier,9,0.9182509505703422
1990_1992,Spectrum_Normalize_Fourier,10,0.9182509505703422
1990_1992,Spectrum_Normalize_Fourier,11,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,12,0.9277566539923955
1990_1992,Spectrum_Normalize_Fourier,13,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,14,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,15,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,16,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,17,0.9334600760456274
1990_1992,Spectrum_Normalize_Fourier,18,0.9315589353612167
1990_1992,Spectrum_Normalize_Fourier,19,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,20,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,21,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,22,0.9372623574144486
1990_1992,Spectrum_Normalize_Fourier,23,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,24,0.935361216730038
1990_1992,Spectrum_Normalize_Fourier,25,0.9467680608365019
1990_1992,Spectrum_Normalize_Fourier,26,0.9372623574144486
1990_1992,Spectrum_Normalize_Fourier,27,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,28,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,29,0.9486692015209125
1990_1992,Spectrum_Normalize_Fourier,30,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,31,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,32,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,33,0.9372623574144486
1990_1992,Spectrum_Normalize_Fourier,34,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,35,0.94106463878327
1990_1992,Spectrum_Normalize_Fourier,36,0.9448669201520913
1990_1992,Spectrum_Normalize_Fourier,37,0.9391634980988594
1990_1992,Spectrum_Normalize_Fourier,38,0.9429657794676806
1990_1992,Spectrum_Normalize_Fourier,39,0.9429657794676806
