system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_000000000000000002b6,35,31,29,35,31,197,197,25,33,1,78,18,-189,-58,-19,15,11,27,-54,1,-8,-857,39,0,-18,11,12,8,2,13,-108,-51,-27,17,-4,15,-16,0,5.5060954,384.25,0.18000112,100377.336,0.012792001,141.91667,293.12,4.1653304,"{""type"":""Point"",""coordinates"":[113.12695673401869,26.94689613540302]}"
1_000000000000000002b7,33,27,24,28,20,193,193,14,29,1,136,11,1033,-108,-8,57,3,-73,-12,-3,-11,-940,-37,-6,-28,22,-14,-10,3,9,451,-90,-6,22,-4,-30,2,-1,4.7415757,383.5,0.19833444,99484.664,0.012452668,139.0,293.00665,3.1739974,"{""type"":""Point"",""coordinates"":[113.54224619242929,26.79274947108645]}"
1_000000000000000002e6,33,28,24,50,41,200,200,28,36,1,529,23,888,-113,0,1,-67,4,-6,-2,-11,-4870,-71,24,86,-61,-83,-33,17,16,-673,-126,29,-38,-41,-5,-20,3,16.495882,345.83334,0.1525011,91631.336,0.008989001,144.0,287.11667,0.90533054,"{""type"":""Point"",""coordinates"":[110.5239074439581,27.386982654771806]}"
1_000000000000000002ea,37,30,27,37,31,192,191,23,34,1,141,18,154,-102,12,2,-34,15,0,0,-8,-151,26,-8,-12,27,-3,22,0,14,-57,-58,-15,7,-16,0,0,0,3.475155,367.91666,0.13750112,98034.0,0.010723,131.58333,290.12,4.1846642,"{""type"":""Point"",""coordinates"":[112.23358029706188,27.38401735257126]}"
1_000000000000000002eb,38,30,27,35,28,189,189,20,35,1,103,19,-279,-48,-41,-26,10,13,-39,1,-11,47,-54,-16,-14,23,-36,-7,0,15,-1129,-25,-29,-9,-22,26,-62,4,0.0,354.91666,0.18333444,93225.336,0.010955334,138.58333,288.38333,5.248664,"{""type"":""Point"",""coordinates"":[112.73079681912742,27.244420734992094]}"
1_0000000000000000031c,40,33,29,37,30,187,187,21,35,1,298,27,-992,-231,93,-64,-7,-38,40,4,-16,-5870,0,-77,3,101,-43,-157,21,18,-1577,-96,-57,-32,30,17,-25,6,15.338898,361.0,0.13000111,96534.664,0.009746667,142.83333,289.46667,1.3153305,"{""type"":""Point"",""coordinates"":[109.98734381419693,27.365694906342654]}"
1_00000000000000000351,42,35,33,37,29,189,189,23,35,1,194,21,2468,-155,95,-79,-89,-45,45,-8,-11,-905,1,-61,-37,75,55,0,3,13,479,-65,-10,-16,-29,-9,-7,-1,8.973767,365.75,0.15416779,97922.0,0.009838667,137.58333,290.09998,1.300664,"{""type"":""Point"",""coordinates"":[109.91781305147056,27.984181140657704]}"
1_00000000000000000353,39,33,31,38,35,200,200,27,36,1,197,20,1240,-50,-6,17,-109,-30,-72,-4,-15,-1760,-122,11,61,-97,-155,-26,5,13,512,-72,7,9,-51,-17,-24,-1,1.8543341,365.58334,0.17083445,98670.664,0.0102200005,142.33333,290.25665,1.1879972,"{""type"":""Point"",""coordinates"":[110.72872287354497,28.076618305495636]}"
1_00000000000000000354,33,30,27,43,34,198,199,24,36,1,249,29,3279,-22,-57,1,-4,38,-58,-11,-11,-87,13,40,-18,19,20,29,0,17,843,-82,-32,11,-20,19,-28,-2,8.353511,343.0,0.16500111,92346.0,0.008731667,142.41667,286.59,1.2646639,"{""type"":""Point"",""coordinates"":[111.1167939791253,27.961546743710407]}"
1_00000000000000000355,37,31,29,38,36,200,200,27,36,1,193,21,1322,-65,-59,24,-13,-46,-90,-4,-9,-501,-29,-2,-44,21,0,12,1,15,499,-63,-38,21,-3,-18,-44,-1,2.296968,359.0,0.16916779,97319.336,0.009654667,139.66667,289.13666,1.5819972,"{""type"":""Point"",""coordinates"":[111.37200616881823,28.09386610837036]}"
1_00000000000000000359,41,38,39,42,39,202,202,32,41,1,54,11,1934,-87,37,11,-14,-30,22,-6,-7,-542,22,-13,-36,6,6,-26,1,8,949,-52,20,16,-11,-20,8,-3,2.131254,369.58334,0.16500111,100336.664,0.010359667,148.91667,291.45667,2.4433305,"{""type"":""Point"",""coordinates"":[113.03101471575276,28.099257161543978]}"
1_0000000000000000038a,41,39,39,57,57,201,201,46,49,1,134,19,2120,-6,-20,25,-51,1,72,-7,-7,741,10,38,-44,-37,-18,8,-2,12,765,-34,0,2,-36,-18,31,-2,2.807106,364.25,0.16500111,98782.0,0.009604667,137.83333,289.96667,1.4479972,"{""type"":""Point"",""coordinates"":[110.4104500767542,28.454451315057263]}"
