system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_000000000000000008fc,43,194,191,36,30,29,45,37,29,28,0,1,122,29,-512,-106,0,16,-35,-3,19,2,-13,-1730,39,36,-1,-31,23,31,5,16,-1836,-63,1,-4,-28,33,28,7,5.6443567,370.91666,0.22750111,98558.664,0.011373,133.5,290.99667,2.4419973,"{""type"":""Point"",""coordinates"":[113.91980719682664,27.702562154526273]}"
1_0000000000000000091f,42,185,185,37,29,28,31,29,26,26,0,1,193,17,566,-88,-8,-32,-27,-36,18,-1,-12,189,49,-22,18,12,19,-25,0,8,-64,-46,9,0,-11,5,0,0,3.4781911,374.16666,0.2700011,98166.0,0.011525667,142.0,291.91666,1.2633306,"{""type"":""Point"",""coordinates"":[117.97408430203438,27.65054674073783]}"
1_00000000000000000927,35,200,197,29,23,20,36,36,26,22,0,1,334,26,-310,-78,-4,0,-2,6,4,1,-10,1013,17,0,-38,-24,20,18,-3,12,1624,-65,6,-18,-60,7,30,-5,7.6791697,355.25,0.25166777,93000.0,0.010310001,142.08333,288.82,1.0279973,"{""type"":""Point"",""coordinates"":[119.00382450830666,27.617941793835033]}"
1_00000000000000000932,42,202,198,37,31,25,38,31,23,32,0,1,34,26,-678,-78,-11,16,-21,-10,18,3,-9,551,11,18,-8,0,-13,-9,-2,14,736,-62,9,23,-11,-5,-3,-1,0.92740995,375.33334,0.23250112,99498.0,0.011375001,141.33333,291.94333,1.540664,"{""type"":""Point"",""coordinates"":[120.25077644509437,27.600693990960306]}"
1_00000000000000000933,40,192,190,35,28,25,32,30,24,28,0,1,32,21,-1462,-63,-29,23,-41,20,50,5,-11,417,12,6,-17,25,-6,-24,-1,13,382,-65,-5,19,-5,6,7,0,1.0473045,374.0,0.22250111,99308.0,0.011352668,141.08333,291.68,1.6339972,"{""type"":""Point"",""coordinates"":[120.3216538563389,27.686928546232895]}"
1_00000000000000000934,40,206,202,36,33,31,58,51,39,31,0,1,16,29,1650,-76,-31,16,-60,22,16,-4,-11,-6,19,9,-8,14,-7,0,0,18,1997,-71,-15,10,-23,-4,-14,-6,2.970496,379.41666,0.20166779,101308.0,0.011867001,140.83333,292.49664,1.936664,"{""type"":""Point"",""coordinates"":[120.50463752716809,27.708488299826303]}"
1_00000000000000000935,41,196,193,36,30,28,33,29,26,29,0,1,8,14,156,-53,-36,14,-46,14,26,0,-7,722,-6,19,-11,5,-15,-8,-2,8,305,-58,-11,9,-14,4,3,0,3.273963,379.41666,0.20166779,101308.0,0.011867001,140.83333,292.49664,1.936664,"{""type"":""Point"",""coordinates"":[120.5835992886225,27.73193425316533]}"
1_00000000000000000936,47,194,191,40,31,26,31,18,12,29,0,1,111,26,578,-112,8,15,-35,-32,4,-1,-13,-1557,54,30,-15,-26,9,37,5,14,-1151,-68,11,-9,-28,8,17,4,2.9710062,375.5,0.21666777,99864.664,0.011802333,132.5,291.65668,2.4939973,"{""type"":""Point"",""coordinates"":[113.80419608381396,27.85913902891698]}"
1_00000000000000000938,36,197,195,30,27,25,56,45,33,26,0,1,501,35,-305,-72,0,10,-42,-5,32,2,-18,-1414,61,17,-11,29,46,33,4,16,-1864,-4,-1,-16,-19,30,45,7,6.464861,372.33334,0.22166778,99282.664,0.011425334,133.66667,291.23666,2.180664,"{""type"":""Point"",""coordinates"":[114.00901151340082,27.920852987496662]}"
1_0000000000000000093b,44,185,184,38,29,25,29,25,19,27,0,1,103,18,35,-112,1,10,-12,-30,-15,0,-9,-547,6,42,17,-51,6,17,1,11,-712,-66,4,2,-18,-16,2,2,2.7976406,374.5,0.22916777,100186.0,0.011525667,135.41667,291.66333,1.7419972,"{""type"":""Point"",""coordinates"":[114.38737961508886,27.81008891732907]}"
1_0000000000000000093c,42,198,195,38,35,34,55,55,51,33,0,1,81,27,-1104,-135,1,11,11,-11,3,4,-10,934,96,35,-14,-55,5,40,-3,16,-783,-66,2,-1,-5,-5,24,3,1.3997309,374.5,0.22916777,100186.0,0.011525667,135.41667,291.66333,1.7419972,"{""type"":""Point"",""coordinates"":[114.5237433844043,27.820599018512038]}"
1_0000000000000000093d,41,198,195,36,33,33,47,53,41,31,0,1,87,24,688,-117,0,-5,11,-35,14,-1,-10,-277,88,40,-14,-53,26,40,0,13,-8,-53,17,-12,-20,-31,27,0,4.254634,374.0,0.24166778,100048.664,0.01147,135.75,291.58667,1.6873306,"{""type"":""Point"",""coordinates"":[114.56416959455485,27.890669332465894]}"
1_00000000000000000940,43,187,186,37,30,27,34,27,20,26,0,1,66,16,270,-94,-5,16,-13,-30,1,0,-15,-511,35,25,-1,-32,-23,42,1,9,-542,-53,10,-2,-23,-16,14,2,2.292097,374.66666,0.23833445,100364.664,0.011318001,137.91667,291.86,1.6926639,"{""type"":""Point"",""coordinates"":[114.92610144975987,27.819791921221363]}"
1_00000000000000000950,35,196,193,28,23,19,66,45,27,22,0,1,140,43,-380,-108,-24,20,-83,16,4,2,-19,238,102,-29,-24,33,21,5,-1,22,-880,-43,-41,-5,-63,31,2,4,10.495501,344.75,0.2625011,92012.0,0.009187001,145.41667,287.39667,2.2279973,"{""type"":""Point"",""coordinates"":[116.88424879086483,27.92004143110493]}"
1_0000000000000000096c,38,189,187,33,25,22,32,30,25,25,0,1,83,24,-298,-60,-12,1,-28,5,23,1,-11,-56,-12,26,-6,21,1,-9,0,13,781,-77,6,9,7,-5,1,-2,6.2274165,357.08334,0.23916778,94020.664,0.010064,141.08333,289.04,1.2739972,"{""type"":""Point"",""coordinates"":[120.08207081583828,27.77613286280708]}"
1_00000000000000000970,41,196,193,36,29,26,29,27,24,28,0,1,12,10,88,-18,-14,8,-10,15,24,0,-9,1005,3,1,-24,-2,-14,7,-3,6,608,-29,-9,2,0,-2,13,-1,2.1296732,380.5,0.2025011,101444.664,0.012113,141.0,292.63333,1.9193306,"{""type"":""Point"",""coordinates"":[120.63804045338401,27.76831605866039]}"
1_00000000000000000971,44,200,196,39,33,31,38,29,25,33,0,1,10,17,-1143,-38,-19,17,-50,25,31,4,-10,847,3,0,-16,22,-33,20,-3,9,-333,-43,2,-2,-10,-9,10,1,3.6480765,376.66666,0.20000112,100531.336,0.012034667,142.0,292.02332,2.3199973,"{""type"":""Point"",""coordinates"":[120.73559666623132,27.85051512747961]}"
1_00000000000000000972,44,199,194,40,33,32,36,23,18,32,0,1,9,12,-156,-31,-12,8,-36,1,7,0,-6,708,-3,13,4,-11,-20,-10,-2,7,524,-38,-2,8,-14,-6,-2,-1,0.0,376.66666,0.20000112,100531.336,0.012034667,142.0,292.02332,2.3199973,"{""type"":""Point"",""coordinates"":[120.79892481939234,27.875575275399978]}"
1_00000000000000000978,43,201,197,36,29,23,36,17,11,27,0,1,98,29,1318,-123,0,-4,-27,-37,13,-3,-13,47,100,27,-51,-24,2,55,0,16,-40,-71,31,-14,-52,-17,26,0,3.4820683,374.16666,0.23333444,100241.336,0.011545001,136.0,291.62332,1.606664,"{""type"":""Point"",""coordinates"":[114.62049249996092,27.98526024311264]}"
1_00000000000000000980,43,204,200,38,32,29,64,59,46,32,0,1,32,31,526,-125,-2,11,-57,2,13,0,-11,-56,47,3,-2,-11,-2,13,0,16,-33,-68,9,-11,-59,4,7,0,1.4013923,373.66666,0.22583444,100488.0,0.010864667,143.58333,292.10666,1.7879972,"{""type"":""Point"",""coordinates"":[115.54863208873043,28.04886040143794]}"
1_00000000000000000982,38,193,191,33,28,25,34,29,23,26,0,1,28,24,1067,-136,12,33,-43,16,7,-2,-11,-1378,36,-37,18,27,4,2,4,16,56,-76,-30,2,-55,3,4,0,3.149698,373.25,0.22250111,100865.336,0.010926667,146.0,292.07666,1.8273306,"{""type"":""Point"",""coordinates"":[115.82917643150796,28.052097708802737]}"
1_00000000000000000986,39,204,201,33,28,22,50,37,23,27,0,1,42,27,91,-140,7,-28,-80,-32,28,0,-13,-14,51,-11,-18,46,-24,-14,0,15,-156,-92,-8,-52,-90,-38,47,1,2.7995834,373.58334,0.22083445,100788.0,0.011068667,147.16667,292.12,2.2273304,"{""type"":""Point"",""coordinates"":[116.3002537031982,27.944298940835683]}"
1_0000000000000000099e,39,197,194,34,26,24,31,28,22,25,0,1,206,17,-21,-54,-3,4,3,-10,22,0,-11,1310,19,-5,-20,-30,5,-8,-4,8,752,-48,-1,4,-20,0,7,-2,1.8543341,371.08334,0.2300011,98106.0,0.011441668,141.25,291.34665,1.4233305,"{""type"":""Point"",""coordinates"":[119.12805952275669,28.07419255452256]}"
1_000000000000000009a3,40,195,192,34,29,27,40,28,24,31,0,1,199,25,292,-83,-5,18,-16,-12,8,0,-11,183,32,29,-28,-16,39,-22,0,12,1913,-51,-2,4,-32,-11,-17,-6,5.07762,361.91666,0.23416778,95026.664,0.0104600005,140.66667,289.88,1.0993305,"{""type"":""Point"",""coordinates"":[119.632013746514,27.976368795612068]}"
1_000000000000000009a8,35,195,193,30,24,23,41,40,30,23,0,1,296,25,-671,-71,-11,12,-26,-17,15,3,-12,1133,31,0,-8,3,-8,-24,-4,13,582,-68,5,12,-13,-15,0,-1,10.900189,348.83334,0.22500111,92039.336,0.00958,141.08333,287.64,1.4786639,"{""type"":""Point"",""coordinates"":[120.23972679268392,27.990379291121993]}"
1_000000000000000009ab,41,195,193,35,28,25,29,26,23,26,0,1,11,9,-358,-40,-11,2,-21,1,17,1,-9,-113,-38,15,6,3,-31,-30,0,5,-261,-38,-3,16,4,-5,0,1,1.4013375,376.5,0.20750111,100159.336,0.012047334,141.58333,291.99,1.9619972,"{""type"":""Point"",""coordinates"":[120.63076320046481,28.04131560245551]}"
1_000000000000000009ac,41,191,190,36,28,25,28,26,23,26,0,1,12,12,-106,-54,-12,0,-24,28,6,0,-9,-239,9,18,-2,-13,4,-18,0,8,215,-51,-3,2,-11,2,-1,0,1.4007856,376.33334,0.19833444,100403.336,0.0121203335,142.33333,291.97333,2.3386638,"{""type"":""Point"",""coordinates"":[120.74233436792306,27.965858694429095]}"
1_000000000000000009ad,42,194,192,37,29,26,30,27,24,28,0,1,9,14,430,-67,-23,-8,-44,-7,14,-1,-11,-111,12,12,4,2,-13,0,0,7,175,-41,-18,16,-12,-3,1,0,3.6530623,379.33334,0.19250111,101336.664,0.012520334,143.0,292.40332,2.634664,"{""type"":""Point"",""coordinates"":[120.86602983114567,28.049671957829663]}"
