system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000960,37,31,30,37,36,194,194,27,34,1,268,14,-179,-117,22,-14,-21,11,-27,1,-10,628,9,-40,16,-5,-49,-44,-2,8,-34,-68,1,-2,-13,3,-16,0,4.2966866,375.33334,0.116667785,98026.0,0.010443,130.5,291.58667,1.4579972,"{""type"":""Point"",""coordinates"":[106.08479208143375,30.47754546300566]}"
1_00000000000000000964,34,29,24,47,37,200,200,26,36,1,404,21,-1237,-153,16,23,-12,0,-1,5,-12,186,-12,-2,-20,17,8,29,-1,14,-1332,-186,30,27,-7,-25,-12,5,10.456532,372.83334,0.13916779,96594.0,0.0104846675,124.5,290.76334,1.2426639,"{""type"":""Point"",""coordinates"":[107.45786523241712,30.483476067406745]}"
1_00000000000000000967,29,26,22,59,48,198,198,26,36,1,676,36,986,-96,12,39,-56,49,-41,-2,-10,899,84,-2,21,34,9,-14,-3,23,-191,-151,56,50,-6,37,-29,1,13.648223,346.66666,0.12833445,89780.664,0.008595,133.41667,287.07333,1.6186639,"{""type"":""Point"",""coordinates"":[108.53988839854104,30.565131125897445]}"
1_000000000000000009b5,40,33,31,37,34,197,197,25,34,1,528,12,1615,-17,-10,36,-30,1,-48,-5,-11,-398,23,-7,21,-4,-22,3,1,6,568,-21,-16,24,-12,0,-22,-1,1.079145,369.16666,0.10083445,95258.664,0.010251334,121.5,290.18332,1.4799972,"{""type"":""Point"",""coordinates"":[103.97303316813864,30.754317406291992]}"
1_000000000000000009ba,40,30,26,39,27,184,183,18,37,1,306,31,-229,-136,22,-33,-51,-17,13,1,-16,-1507,75,-77,18,15,7,24,4,17,138,-95,-9,-2,-13,-15,7,0,7.9916797,373.58334,0.123334445,97641.336,0.010425334,129.0,291.29666,1.8213305,"{""type"":""Point"",""coordinates"":[105.49971789131217,30.65784029589964]}"
1_000000000000000009bd,29,25,22,52,38,204,204,26,36,1,479,27,16,-120,122,-68,-5,-22,-28,1,-13,-277,18,-30,12,37,-9,-26,0,14,361,-105,103,-57,11,-28,-29,0,8.042351,364.91666,0.11833445,95206.664,0.009815001,131.91667,289.98666,1.0406638,"{""type"":""Point"",""coordinates"":[106.49684869158058,30.75323830383706]}"
1_000000000000000009be,37,31,28,37,31,200,200,23,33,1,300,16,149,-42,-4,-9,0,41,22,0,-9,228,-19,21,-12,16,3,-10,-1,9,-283,-82,21,-8,1,8,8,1,6.046093,377.41666,0.124167785,98053.336,0.010560334,127.5,291.72333,0.98466384,"{""type"":""Point"",""coordinates"":[106.9544505598873,30.69718294449419]}"
1_000000000000000009c2,36,33,32,51,46,201,201,36,39,1,740,21,-224,-86,49,24,-43,2,-9,1,-8,-946,15,-12,14,32,-9,9,3,12,-736,-121,34,10,-7,-17,-26,3,7.216245,347.0,0.13916779,90016.664,0.008682667,130.25,286.88998,1.5179973,"{""type"":""Point"",""coordinates"":[108.01464196725352,30.730064355662297]}"
1_00000000000000000a00,36,40,49,60,57,202,202,51,50,1,3616,6,-42,-4,2,0,-8,3,-1,0,0,71,7,5,9,16,-6,3,0,7,-64,-5,8,8,-5,9,-1,0,4.263951,270.16666,0.060001116,63540.0,0.0039903335,200.66667,278.61,1.3866639,"{""type"":""Point"",""coordinates"":[98.27160426569748,30.859690423285976]}"
1_00000000000000000a18,32,28,25,63,49,200,200,27,42,1,295,31,848,-143,40,17,-109,-6,11,-1,-10,-53,101,-94,50,42,4,40,0,18,1397,-64,47,49,-83,2,-16,-4,7.7519383,373.41666,0.11750111,97680.0,0.010739334,133.75,291.38,1.4513305,"{""type"":""Point"",""coordinates"":[105.99289446782329,30.86912142201402]}"
1_00000000000000000a19,32,27,22,47,35,193,193,18,36,1,322,26,1192,-142,-45,8,-99,2,11,-3,-10,-117,98,-82,38,59,3,39,0,13,2224,-96,-27,38,-47,-29,-12,-7,9.730795,372.66666,0.11833444,97577.336,0.010592001,134.58333,291.30667,1.1473305,"{""type"":""Point"",""coordinates"":[106.21819054854865,30.90065172556292]}"
1_00000000000000000a1e,34,30,27,55,46,200,199,31,40,1,422,31,108,-59,-40,52,-92,-29,-30,0,-8,-581,5,-37,-10,3,-8,-8,1,20,-622,-139,-12,11,-59,-49,-28,3,1.4229739,366.58334,0.14166778,95354.0,0.010087,129.16667,290.03,1.4646639,"{""type"":""Point"",""coordinates"":[107.92328390487054,30.779921564540874]}"
1_00000000000000000a20,37,31,28,55,41,199,199,31,41,1,568,33,540,-62,-32,27,-51,-5,-63,0,-10,-432,7,12,-34,-3,5,-3,1,19,-34,-76,-32,47,-16,5,-52,0,19.868626,369.83334,0.13250111,96420.0,0.0099473335,133.91667,290.97333,1.6419972,"{""type"":""Point"",""coordinates"":[108.46227328560477,30.807407463434327]}"
1_00000000000000000a47,31,35,43,59,66,199,199,57,52,1,4827,12,-303,-42,-52,40,-7,-11,2,1,-7,-922,84,64,-69,3,3,12,3,11,265,-15,-18,12,-28,13,-12,0,1.4246035,233.41667,0.04583445,57085.332,0.0034760004,232.25,272.47665,3.4993308,"{""type"":""Point"",""coordinates"":[90.27462122274025,30.97045449345357]}"
