Year,Size,Acc_type,Acc_value
Training_sample_huadong_1999_2001,95.00,acc_test,0.9174418604651163
Training_sample_huadong_1999_2001,95.00,acc_RF,0.9528601694915254
Training_sample_huadong_2002_2004,0.10,acc_test,0.6901306240928883
Training_sample_huadong_2002_2004,0.10,acc_RF,0.6666666666666666
Training_sample_huadong_2002_2004,0.40,acc_test,0.8795355587808418
Training_sample_huadong_2002_2004,0.40,acc_RF,0.92
Training_sample_huadong_2002_2004,0.70,acc_test,0.888243831640058
Training_sample_huadong_2002_2004,0.70,acc_RF,0.9545454545454546
Training_sample_huadong_2002_2004,1.00,acc_test,0.8759071117561683
Training_sample_huadong_2002_2004,1.00,acc_RF,0.9523809523809523
Training_sample_huadong_2002_2004,1.50,acc_test,0.8447024673439768
Training_sample_huadong_2002_2004,1.50,acc_RF,0.9574468085106383
Training_sample_huadong_2002_2004,10.00,acc_test,0.9136429608127722
Training_sample_huadong_2002_2004,10.00,acc_RF,0.9428571428571428
Training_sample_huadong_2002_2004,15.00,acc_test,0.9143686502177069
Training_sample_huadong_2002_2004,15.00,acc_RF,0.9471458773784355
Training_sample_huadong_2002_2004,2.00,acc_test,0.8621190130624092
Training_sample_huadong_2002_2004,2.00,acc_RF,0.9285714285714286
Training_sample_huadong_2002_2004,20.00,acc_test,0.9158200290275762
Training_sample_huadong_2002_2004,20.00,acc_RF,0.9397781299524565
Training_sample_huadong_2002_2004,25.00,acc_test,0.9150943396226415
Training_sample_huadong_2002_2004,25.00,acc_RF,0.948002536461636
Training_sample_huadong_2002_2004,30.00,acc_test,0.9194484760522497
Training_sample_huadong_2002_2004,30.00,acc_RF,0.9513998943475964
Training_sample_huadong_2002_2004,35.00,acc_test,0.9238026124818578
Training_sample_huadong_2002_2004,35.00,acc_RF,0.9497282608695652
Training_sample_huadong_2002_2004,40.00,acc_test,0.9267053701015965
Training_sample_huadong_2002_2004,40.00,acc_RF,0.9524375743162902
Training_sample_huadong_2002_2004,45.00,acc_test,0.9361393323657474
