system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000c7b,34,197,195,28,23,17,66,38,19,20,0,0,45,1248,-186,-20,4,-85,-12,-11,-2,48,-16,20,-1677,92,4,-13,71,6,-8,4,1707,-146,-40,-19,-64,-56,-20,-4,2.8477242,361.375,0.16875112,101044.0,0.010944501,157.25,290.51,1.9769973,"{""type"":""Point"",""coordinates"":[119.31320139849576,30.986623193873363]}"
00000000000000000c34,31,190,189,25,19,14,51,33,17,17,0,0,756,251,-177,-6,21,-69,-43,12,0,43,-15,17,-390,127,41,-8,13,3,-21,0,-923,-76,-27,46,-58,-44,13,4,28.885715,333.75,0.16875112,92210.0,0.009419001,148.0,285.875,2.7039971,"{""type"":""Point"",""coordinates"":[116.1490678819811,30.752431206546387]}"
00000000000000000c36,32,192,191,26,20,14,59,27,13,17,0,0,312,819,-175,11,36,-43,-16,14,-1,55,-20,21,-423,15,-5,-20,21,7,0,0,792,-36,-1,67,-31,-32,6,-1,13.81083,333.75,0.16875112,92210.0,0.009419001,148.0,285.875,2.7039971,"{""type"":""Point"",""coordinates"":[116.19865308569543,30.72278710274308]}"
00000000000000000acd,31,196,195,26,24,18,94,58,28,21,0,0,591,704,-331,76,45,-119,27,40,0,47,-11,24,687,224,-61,-48,66,-21,-41,-2,1063,-227,17,32,-102,7,44,-2,28.23072,288.75,0.07125111,95048.0,0.0056050005,169.25,281.78998,2.131997,"{""type"":""Point"",""coordinates"":[118.78580122139948,40.62832782398987]}"
00000000000000001d30,32,190,190,27,21,19,50,45,26,22,1,0,661,1628,-323,72,20,-50,-31,75,-3,43,-14,21,-770,164,-62,-28,40,-5,-58,1,1750,-217,11,10,-55,-43,68,-4,15.350562,288.75,0.07125111,95048.0,0.0056050005,169.25,281.78998,2.131997,"{""type"":""Point"",""coordinates"":[118.7752911202165,40.67414508731403]}"
00000000000000001ee7,34,188,187,28,21,21,42,44,30,21,1,0,601,-2,-227,46,17,-100,97,-21,0,25,-9,13,-897,50,-97,-40,56,-125,-7,2,233,-172,-6,19,-92,52,4,0,14.855557,288.75,0.07125111,95048.0,0.0056050005,169.25,281.78998,2.131997,"{""type"":""Point"",""coordinates"":[118.77852396848023,40.69813059188051]}"
00000000000000000b04,33,199,197,28,25,26,72,62,43,21,0,0,525,250,-212,36,23,-125,75,-1,0,31,-7,16,917,141,-66,-42,88,-76,-4,-3,985,-161,0,16,-115,41,21,-2,7.764993,287.125,0.07125111,94540.0,0.0055275005,169.5,281.47998,2.1969972,"{""type"":""Point"",""coordinates"":[118.86260923704506,40.69516528967998]}"
00000000000000001328,43,205,203,41,38,41,65,68,60,46,0,1,43,902,-96,-39,4,33,43,-61,-2,26,-6,12,-556,6,20,-25,-40,-34,31,1,938,-71,-38,15,-15,23,-31,-2,1.1215595,346.0,0.10250111,101192.0,0.009007,161.5,289.21997,2.0489974,"{""type"":""Point"",""coordinates"":[116.43122641934,34.222445678024265]}"
0000000000000000135f,39,204,202,35,31,32,69,55,43,36,0,1,42,336,-131,-37,1,7,30,-69,0,31,-9,15,-535,61,15,-29,-33,-35,18,1,717,-113,-27,16,-41,21,-45,-1,1.4553927,346.0,0.10250111,101192.0,0.009007,161.5,289.21997,2.0489974,"{""type"":""Point"",""coordinates"":[116.4508999731878,34.24319387522596]}"
000000000000000013d1,36,200,199,30,27,25,71,50,36,25,0,1,43,-109,-170,-48,38,-60,35,-49,1,37,-11,16,801,92,6,-26,-20,-21,12,-3,356,-128,-43,37,-81,17,-19,0,1.8543341,346.0,0.10250111,101192.0,0.009007,161.5,289.21997,2.0489974,"{""type"":""Point"",""coordinates"":[116.45844477217027,34.273109984193525]}"
00000000000000001517,38,204,202,34,32,32,74,57,44,30,0,1,43,540,-171,-53,39,-47,42,-66,0,37,-11,17,339,74,10,-27,-32,-24,29,-1,938,-124,-47,35,-77,23,-32,-2,1.4557323,346.0,0.10250111,101192.0,0.009007,161.5,289.21997,2.0489974,"{""type"":""Point"",""coordinates"":[116.43607792128616,34.276342832457274]}"
0000000000000000186e,35,197,195,28,23,15,90,32,15,20,0,0,40,773,-39,-60,168,95,121,-164,0,53,-18,23,-1128,2,5,-165,-119,-84,97,2,809,-55,-43,145,9,79,-91,-1,1.1216187,346.0,0.10250111,101192.0,0.009007,161.5,289.21997,2.0489974,"{""type"":""Point"",""coordinates"":[116.46141007437076,34.227025174806165]}"
00000000000000001a79,31,192,190,24,19,16,48,40,23,17,0,0,805,-80,-240,22,12,-55,-4,7,1,36,-14,15,-1202,151,-3,-4,15,-15,-82,3,331,-168,-11,15,-102,-23,-22,0,14.972436,296.125,0.10250111,85929.0,0.0059735,161.25,280.88,2.5629973,"{""type"":""Point"",""coordinates"":[112.07377057440742,33.882073576412644]}"
00000000000000001ac7,31,196,194,25,23,19,72,56,30,22,0,0,808,301,-215,11,29,-88,-3,32,0,39,-11,16,-517,152,11,-25,52,-19,-81,1,-406,-118,-35,37,-100,2,-14,2,12.665501,296.125,0.10250111,85929.0,0.0059735,161.25,280.88,2.5629973,"{""type"":""Point"",""coordinates"":[112.0780825251261,33.81982006660549]}"
00000000000000001c30,29,191,189,23,20,15,72,46,17,19,0,0,1233,-249,-259,-1,41,-131,4,51,2,45,-15,19,-1055,200,21,-34,92,-36,-110,2,-193,-165,-38,43,-146,-5,0,1,27.113901,296.125,0.10250111,85929.0,0.0059735,161.25,280.88,2.5629973,"{""type"":""Point"",""coordinates"":[112.0549041178503,33.85835561790936]}"
000000000000000012dd,42,204,200,38,32,35,76,69,53,37,0,1,49,1527,-138,-36,34,-15,44,-65,-3,34,-8,15,-440,40,22,-18,-27,-41,48,1,1786,-102,-44,33,-34,9,-17,-5,1.1246498,348.25,0.10250111,101059.0,0.009008501,149.75,289.075,2.3359973,"{""type"":""Point"",""coordinates"":[115.79252707994969,34.45340035798645]}"
000000000000000013c3,41,204,200,37,34,36,75,68,52,31,0,1,50,1774,-130,-51,39,-30,35,-63,-4,37,-10,16,-141,51,15,-18,-3,-44,62,0,2030,-105,-47,25,-45,2,-24,-5,1.1250315,348.25,0.10250111,101059.0,0.009008501,149.75,289.075,2.3359973,"{""type"":""Point"",""coordinates"":[115.78174497360244,34.48169781327161]}"
00000000000000001882,35,199,197,29,27,24,91,48,29,27,0,0,53,2097,-138,-54,95,-61,47,-86,-5,52,-16,22,-95,62,31,-60,-14,-34,74,0,1627,-95,-51,69,-54,1,-34,-4,1.4579943,348.25,0.10250111,101059.0,0.009008501,149.75,289.075,2.3359973,"{""type"":""Point"",""coordinates"":[115.73835792035241,34.49490121149086]}"
00000000000000001c09,35,200,198,30,26,21,86,53,29,25,0,0,51,3151,-121,10,75,-32,94,-106,-8,48,-14,20,-1391,51,-10,-57,-38,-67,86,3,2353,-89,-9,65,-32,42,-61,-6,1.1248256,348.25,0.10250111,101059.0,0.009008501,149.75,289.075,2.3359973,"{""type"":""Point"",""coordinates"":[115.7184168204414,34.466336210142494]}"
0000000000000000135d,41,204,203,37,34,37,68,66,51,34,0,1,45,458,-117,-36,16,0,25,-70,0,29,-7,13,97,38,-6,0,-55,-13,16,0,1129,-83,-45,34,-41,22,-56,-2,0.92740995,346.375,0.10250111,101180.0,0.009026,159.875,289.19998,2.1049972,"{""type"":""Point"",""coordinates"":[116.39134421951798,34.2674513849567]}"
00000000000000001506,39,205,203,35,32,33,67,61,50,23,0,1,44,980,-134,-17,10,-12,27,-62,-2,31,-8,15,342,45,-10,-5,-44,-15,12,-1,875,-103,-27,23,-43,11,-36,-2,2.9093654,346.375,0.10250111,101180.0,0.009026,159.875,289.19998,2.1049972,"{""type"":""Point"",""coordinates"":[116.37652216761633,34.26556072611004]}"
000000000000000010a9,43,203,201,41,41,43,77,66,50,44,0,1,33,1618,-152,-68,23,16,63,-77,-4,32,-10,16,-810,59,16,-44,-62,-18,0,2,610,-114,-37,11,-7,50,-49,-1,2.7802885,352.375,0.10250111,101262.0,0.009851,153.25,289.53,2.552997,"{""type"":""Point"",""coordinates"":[115.9628469037871,33.48483901816747]}"
00000000000000000eea,35,201,198,30,26,21,87,51,25,25,0,0,34,3187,-246,-100,83,11,39,-65,-9,47,-14,23,-2866,114,32,-92,-62,-1,6,8,1443,-183,-56,56,-6,35,-36,-3,3.5565667,352.375,0.10250111,101258.0,0.0098195,153.0,289.56,2.5969973,"{""type"":""Point"",""coordinates"":[115.75048667521777,33.422585508360314]}"
000000000000000010f3,45,205,203,42,39,43,59,58,52,43,0,1,34,17,-86,-63,39,30,36,-50,0,20,-6,9,-350,7,20,-42,-58,3,1,0,196,-49,-29,15,-1,32,-23,0,1.4473026,352.375,0.10250111,101258.0,0.0098195,153.0,289.56,2.5969973,"{""type"":""Point"",""coordinates"":[115.7302735701425,33.437947111489436]}"
0000000000000000118c,44,205,202,41,40,44,69,64,53,35,0,1,36,-184,-109,-49,10,19,33,-45,1,24,-7,12,16,14,1,-31,-43,3,-7,0,-112,-67,-38,21,-8,23,-25,0,1.1119088,352.375,0.10250111,101258.0,0.0098195,153.0,289.56,2.5969973,"{""type"":""Point"",""coordinates"":[115.78928977258488,33.48429946694]}"
00000000000000000f5c,40,195,192,33,27,21,31,13,7,25,0,0,4,4851,-78,-75,83,-33,-3,-9,-15,26,-14,10,2169,65,-10,-8,104,-16,7,-8,3996,-50,-66,55,-9,-31,-12,-12,0.92740995,346.5,0.10250111,101608.0,0.0101540005,163.625,288.78998,2.5639973,"{""type"":""Point"",""coordinates"":[119.84518553147505,33.406951900066936]}"
00000000000000000f67,40,195,192,34,30,25,30,19,11,26,0,0,5,5942,-177,-13,56,-98,53,-38,-18,33,-13,13,4681,100,-19,-31,3,-30,26,-16,5366,-107,-14,30,-61,16,-26,-16,2.4068048,346.5,0.10250111,101608.0,0.0101540005,163.625,288.78998,2.5639973,"{""type"":""Point"",""coordinates"":[119.83063102563659,33.419887752222984]}"
00000000000000001361,37,201,199,32,27,28,71,59,43,23,0,1,49,121,-150,-36,34,-26,28,-61,0,37,-11,15,129,65,9,-13,-10,-29,29,0,785,-108,-38,19,-45,-6,-17,-1,1.8543341,348.5,0.10250111,101110.0,0.009133,153.0,289.21,2.3809972,"{""type"":""Point"",""coordinates"":[115.80950287766017,34.28415963660397]}"
000000000000000014f2,37,203,200,33,30,31,69,61,49,26,0,1,49,7,-123,-13,36,-4,39,-64,1,32,-9,14,218,35,5,-21,-50,-17,30,-1,682,-94,-32,31,-20,6,-40,-1,1.1218333,348.5,0.10250111,101110.0,0.009133,153.0,289.21,2.3809972,"{""type"":""Point"",""coordinates"":[115.81381482837881,34.242926329162756]}"
00000000000000000f5d,41,191,190,35,28,23,39,21,13,28,0,0,-3,177,-119,-34,16,-77,-11,-2,0,24,-15,9,263,63,-48,9,32,-6,-2,-1,50,-80,-56,6,-73,-22,18,0,10.177214,346.625,0.10250111,101587.0,0.0101035,162.375,288.78497,2.4139972,"{""type"":""Point"",""coordinates"":[119.7724219204849,33.44818520750814]}"
00000000000000000f6e,36,201,199,31,27,22,69,43,24,22,0,0,1,161,-57,-120,65,-28,55,-61,0,42,-16,16,9,42,73,-29,9,-29,26,0,113,-11,-115,28,-33,20,-12,0,0.92740995,346.625,0.10250111,101587.0,0.0101035,162.375,288.78497,2.4139972,"{""type"":""Point"",""coordinates"":[119.76433757027499,33.49453756295872]}"
00000000000000000ec8,41,193,191,36,30,23,21,7,4,27,0,0,2,-211,-52,-63,29,26,68,-14,1,10,-13,4,-272,42,-52,-24,169,26,-48,0,-271,-40,-67,24,41,50,-14,1,1.8543341,348.625,0.10250111,101730.0,0.0102585,163.25,289.11,2.4669971,"{""type"":""Point"",""coordinates"":[119.8397944783014,33.23879028113938]}"
00000000000000001a9e,35,202,199,29,24,19,90,50,23,22,0,0,50,1070,-85,-76,74,197,236,-198,-1,55,-17,22,-127,49,93,-92,-172,-132,82,0,695,-37,-48,64,130,141,-103,-1,2.1621332,348.875,0.10250111,101020.0,0.0090685,154.625,289.41998,2.0629973,"{""type"":""Point"",""coordinates"":[114.35719596005809,33.54196902086422]}"
00000000000000001f00,36,201,198,31,26,22,88,51,25,31,0,0,48,1071,-100,-69,70,119,188,-170,-1,52,-16,21,-464,58,81,-76,-113,-89,41,0,425,-47,-52,54,85,105,-85,0,0.92740995,348.875,0.10250111,101020.0,0.0090685,154.625,289.41998,2.0629973,"{""type"":""Point"",""coordinates"":[114.37175046589654,33.55571197031094]}"
0000000000000000035b,44,204,201,40,38,40,74,71,56,39,0,1,52,574,-97,-33,31,0,40,-65,0,31,-8,13,-847,31,22,-26,-29,-38,50,2,1229,-75,-26,16,-19,2,-31,-3,0.92740995,347.0,0.10250111,101086.0,0.008908501,152.125,288.97998,2.2559972,"{""type"":""Point"",""coordinates"":[115.84076563514584,34.54772372256999]}"
00000000000000001483,39,203,200,34,32,32,69,57,43,32,0,1,33,161,-156,-47,20,-3,77,-85,0,34,-11,15,118,44,11,-17,-55,-30,8,0,257,-99,-43,17,-13,18,-43,0,1.8543341,349.0,0.10250111,101245.0,0.009504,159.0,289.44,2.243997,"{""type"":""Point"",""coordinates"":[116.42637491739384,33.81712231046815]}"
00000000000000000ef8,35,197,196,29,25,19,88,32,16,23,0,0,32,2112,-148,-187,187,127,165,-76,-5,44,-17,21,-1940,23,67,-165,-176,-41,-1,5,926,-116,-133,160,76,84,-44,-1,2.4108574,351.375,0.10250111,101248.0,0.009775501,154.875,289.495,2.4719973,"{""type"":""Point"",""coordinates"":[116.14690967707124,33.591019132452125]}"
000000000000000010a6,44,202,200,41,38,39,63,63,51,37,0,1,34,438,-135,-40,0,5,63,-65,0,25,-8,12,732,0,-20,-28,-83,-21,-11,-2,1205,-80,-40,10,1,9,-27,-3,2.1620727,351.375,0.10250111,101248.0,0.009775501,154.875,289.495,2.4719973,"{""type"":""Point"",""coordinates"":[116.17278138138334,33.532805568199386]}"
000000000000000010a7,38,203,200,33,32,28,75,58,38,29,0,1,36,-101,-181,-56,21,-6,62,-32,1,34,-11,16,-68,71,-4,-36,-78,-17,-12,0,417,-139,-47,32,-20,23,-21,0,2.7802885,351.375,0.10250111,101248.0,0.009775501,154.875,289.495,2.4719973,"{""type"":""Point"",""coordinates"":[116.17412802990148,33.52795406625324]}"
00000000000000000f61,37,201,198,31,29,25,76,49,26,23,0,0,1,2,-107,-111,56,-47,30,-45,1,40,-16,15,-643,31,12,-19,14,-13,23,1,151,-53,-77,22,-27,6,-41,0,2.1613533,347.5,0.10250111,101670.0,0.010013,159.375,288.835,2.1209972,"{""type"":""Point"",""coordinates"":[119.51047202910023,33.4236601517142]}"
00000000000000000f6d,35,197,194,30,27,25,78,53,29,24,0,0,1,937,-77,-101,107,-8,96,-79,-1,47,-16,17,-1288,-11,16,-79,-74,-52,33,3,344,-21,-78,63,-7,40,-41,0,1.1109587,347.5,0.10250111,101670.0,0.010013,159.375,288.835,2.1209972,"{""type"":""Point"",""coordinates"":[119.50023393308152,33.40991720226747]}"
00000000000000000a3a,44,202,199,38,32,30,64,54,36,31,0,1,2,433,-79,-36,54,-56,73,-67,0,37,-13,14,-585,4,-3,-35,-9,-45,23,1,-158,-37,-39,29,-28,27,-47,1,0.92740995,347.875,0.10250111,101760.0,0.0102305,163.375,289.0,2.5129972,"{""type"":""Point"",""coordinates"":[119.84087358075635,33.30670239018336]}"
00000000000000000f69,36,197,194,31,28,25,60,44,24,26,0,0,0,-659,-90,-74,93,-24,93,-87,3,40,-16,16,178,36,25,-63,-16,-67,59,-1,-472,-49,-69,51,-15,41,-59,2,1.1098952,347.875,0.10250111,101760.0,0.0102305,163.375,289.0,2.5129972,"{""type"":""Point"",""coordinates"":[119.82901683105523,33.32664349009437]}"
000000000000000012af,50,203,201,47,49,55,83,74,58,41,0,1,32,-205,-81,-49,14,25,78,-73,1,28,-9,14,500,43,23,-14,-66,-27,11,-2,7,-60,-25,19,-1,50,-53,0,1.1150361,349.875,0.10250111,101267.0,0.0096105,157.625,289.47498,2.3299973,"{""type"":""Point"",""coordinates"":[116.33447730378339,33.72630379931262]}"
00000000000000001457,41,203,200,36,35,36,69,53,40,33,0,1,33,1452,-123,-55,0,27,57,-83,-3,32,-11,14,-1081,57,16,-49,-37,-27,4,3,2659,-107,-50,30,-25,26,-59,-7,1.1154152,349.875,0.10250111,101267.0,0.0096105,157.625,289.47498,2.3299973,"{""type"":""Point"",""coordinates"":[116.38487406388943,33.75568035705271]}"
00000000000000001c62,35,201,199,30,25,22,82,44,24,23,0,0,15,2377,-120,13,148,-59,35,-120,-6,46,-16,22,572,44,2,-92,-55,-29,54,-2,1693,-91,-30,118,-41,-13,-43,-4,1.1625712,334.0,0.07125112,101482.0,0.0078040008,162.375,288.34998,1.9129972,"{""type"":""Point"",""coordinates"":[117.51055182932656,37.090673248632264]}"
00000000000000000504,36,202,200,31,26,23,72,48,33,25,0,1,56,1759,-173,-37,24,-22,-10,-25,-4,37,-11,15,-935,94,17,-10,6,-14,38,2,1794,-111,-61,13,-18,-60,31,-4,4.607701,342.25,0.07125112,100841.0,0.0088415,160.625,288.85,2.4359975,"{""type"":""Point"",""coordinates"":[115.34732151257154,34.900759671173404]}"
00000000000000000242,41,203,201,37,35,38,63,62,54,36,0,1,24,231,-125,18,18,-43,38,-56,0,21,-6,11,1596,25,-32,-1,-26,-74,29,-5,375,-111,-12,21,-35,10,-15,0,1.159882,334.375,0.07125112,101458.0,0.0074955,163.375,288.705,1.7919972,"{""type"":""Point"",""coordinates"":[117.35667271107324,36.914427279494824]}"
000000000000000003f1,39,204,201,35,34,36,69,64,50,37,0,1,24,663,-137,5,17,-50,44,-72,-1,27,-7,14,1162,22,-11,7,-37,-54,13,-4,216,-114,-23,21,-51,11,-12,0,1.1607786,334.375,0.07125112,101458.0,0.0074955,163.375,288.705,1.7919972,"{""type"":""Point"",""coordinates"":[117.34724171234521,36.97344348193718]}"
000000000000000016eb,36,200,199,30,26,25,83,62,30,25,0,0,109,829,-124,-29,125,4,171,-192,-1,49,-18,19,-1828,-12,7,-123,-119,-34,62,5,-286,-60,-21,80,0,70,-156,1,3.8691957,348.5,0.07125112,100370.0,0.0085255,150.5,289.515,2.2499971,"{""type"":""Point"",""coordinates"":[113.62120795388368,34.029214992974254]}"
000000000000000002a9,44,205,202,40,38,40,73,68,54,43,0,1,32,568,-125,-2,31,-22,39,-59,0,28,-8,14,-390,25,25,-11,-2,-24,10,0,735,-101,-10,27,-41,14,-24,-1,3.4631846,334.75,0.07125112,101428.0,0.008358501,163.0,288.24,2.7429972,"{""type"":""Point"",""coordinates"":[116.15499402728118,36.63388293671727]}"
00000000000000000403,44,204,201,41,40,42,75,69,54,42,0,1,35,631,-133,0,39,-25,36,-54,-1,27,-8,13,-606,28,22,-6,3,-17,14,1,779,-105,-10,28,-48,20,-26,-1,1.4816494,334.75,0.07125112,101428.0,0.008358501,163.0,288.24,2.7429972,"{""type"":""Point"",""coordinates"":[116.12912232296904,36.63819488743595]}"
0000000000000000199b,36,201,199,31,26,23,79,45,28,25,0,0,49,1444,-151,-49,83,-64,70,-68,-3,40,-12,17,-2590,90,43,-76,-3,-13,50,7,2815,-99,-59,48,-30,0,-11,-8,1.4664892,339.0,0.07125112,101032.0,0.008671001,165.0,288.55,2.3379974,"{""type"":""Point"",""coordinates"":[115.66236146109856,35.293686737800954]}"
00000000000000001d61,46,203,200,43,42,47,65,79,66,42,0,0,32,-242,-24,29,-12,-26,-2,-21,1,16,-3,7,-1177,-31,-18,39,35,36,39,3,-1115,-24,3,5,-3,0,7,4,12.941355,315.125,0.07125112,100315.0,0.0075080004,165.75,284.8,4.5839977,"{""type"":""Point"",""coordinates"":[122.00087104924764,37.43535730096258]}"
00000000000000000108,46,204,200,44,38,40,75,76,61,41,0,1,27,291,-186,23,42,-43,67,-40,0,26,-5,12,2099,-13,-2,18,0,-88,26,-7,462,-129,-2,40,-34,29,0,0,0.0,335.25,0.07125112,101450.0,0.006992,165.375,289.34998,1.7919972,"{""type"":""Point"",""coordinates"":[117.03732081182756,36.77913815353327]}"
000000000000000001b4,51,207,203,51,45,46,68,71,63,42,0,1,26,-38,-37,4,-8,-22,30,-24,0,24,-3,9,1547,-10,-19,34,-13,-64,24,-5,-447,-21,-13,0,-12,0,4,2,0.0,335.25,0.07125112,101450.0,0.006992,165.375,289.34998,1.7919972,"{""type"":""Point"",""coordinates"":[117.04163276254621,36.740330597065125]}"
000000000000000003ee,42,204,202,37,34,34,72,63,51,31,0,1,26,-136,-177,-3,16,-89,10,-26,1,30,-8,14,943,44,6,14,14,-56,-3,-3,64,-134,-33,29,-71,-15,26,0,1.4835515,335.25,0.07125112,101450.0,0.006992,165.375,289.34998,1.7919972,"{""type"":""Point"",""coordinates"":[117.0971485706616,36.799890809836015]}"
00000000000000001ca0,34,198,196,29,26,20,93,42,23,24,0,0,62,2111,-202,-18,118,10,163,-153,-5,47,-15,19,-1219,69,32,-81,-80,-107,104,3,1491,-117,-16,63,28,28,-29,-3,2.1699893,345.25,0.07125112,100755.0,0.008836,157.125,289.245,2.263997,"{""type"":""Point"",""coordinates"":[114.944963447216,34.69055764751398]}"
00000000000000000b5e,37,203,201,33,32,31,70,66,46,32,0,0,112,450,-170,34,39,-146,122,-45,0,27,-8,13,872,95,-47,-56,66,-106,14,-3,1010,-110,-8,23,-116,61,-6,-2,3.7472274,309.375,0.07125112,100431.0,0.0068070004,165.25,285.07498,2.3349972,"{""type"":""Point"",""coordinates"":[119.04451826452038,40.073169742835866]}"
00000000000000001968,36,205,202,30,28,27,69,55,40,28,0,0,187,923,-149,-41,39,-122,34,-8,-1,33,-10,13,-840,31,10,-47,-7,-23,-29,2,653,-80,-41,7,-82,0,-18,-1,1.459804,343.5,0.07125112,99149.0,0.008206001,156.5,289.315,2.1779974,"{""type"":""Point"",""coordinates"":[113.48107178507705,34.66818633752884]}"
000000000000000004be,43,205,202,39,35,40,70,74,64,38,0,1,12,136,-116,5,30,-56,23,-26,0,24,-5,11,258,24,-42,-2,11,-22,43,-1,-21,-83,-28,20,-36,-4,19,0,2.5125616,331.625,0.07125112,101716.0,0.007778,163.875,288.03,2.1399972,"{""type"":""Point"",""coordinates"":[118.08296217245638,37.457996157010925]}"
0000000000000000163a,39,203,201,35,33,33,82,61,42,32,0,0,7,-426,-121,7,143,-62,32,-106,2,38,-13,16,1140,63,-19,-103,-34,-16,101,-4,-247,-81,-20,103,-24,-8,-24,1,2.335599,331.625,0.07125112,101716.0,0.007778,163.875,288.03,2.1399972,"{""type"":""Point"",""coordinates"":[118.0516994149707,37.459614810693324]}"
0000000000000000029b,44,203,200,41,39,41,70,67,56,43,0,1,48,-1500,-85,1,18,-3,41,-74,5,26,-6,11,362,7,12,-14,-13,-9,55,-1,141,-61,-17,4,-3,3,-18,0,2.44897,339.625,0.07125112,101034.0,0.0087245,164.5,288.60498,2.3459973,"{""type"":""Point"",""coordinates"":[115.68014435609967,35.13117925900916]}"
00000000000000000312,37,202,200,32,28,26,74,55,35,25,0,1,49,-1273,-165,-14,19,-44,14,-40,5,39,-10,17,983,73,30,-14,7,2,36,-3,251,-122,-33,7,-31,-24,13,0,1.1340029,339.625,0.07125112,101034.0,0.0087245,164.5,288.60498,2.3459973,"{""type"":""Point"",""coordinates"":[115.6744857568629,35.136298307018535]}"
000000000000000002cc,39,204,201,34,33,33,72,60,44,41,0,1,14,-481,-164,0,19,-90,24,0,2,28,-9,13,-355,80,-14,-9,47,-11,16,0,-292,-119,-36,19,-75,-3,42,1,0.0,331.75,0.07125112,101637.0,0.0078145005,163.25,288.0,2.0979972,"{""type"":""Point"",""coordinates"":[117.96222755233326,37.32243948498617]}"
000000000000000000f2,40,204,201,36,31,33,68,63,51,28,0,1,31,814,-148,-20,51,-17,25,-46,-1,29,-8,15,-190,30,28,-13,-21,-8,1,0,545,-125,-21,39,-47,9,-13,0,1.4824957,333.75,0.07125112,101471.0,0.008265,164.375,288.18,2.6879973,"{""type"":""Point"",""coordinates"":[116.26602564351194,36.710146942034356]}"
000000000000000002f6,42,205,202,38,35,41,68,70,60,37,0,1,32,1078,-105,-17,51,2,21,-61,-2,24,-5,12,-590,9,26,-21,-40,-17,10,1,724,-92,-10,32,-28,13,-30,-1,2.3132799,333.75,0.07125112,101471.0,0.008265,164.375,288.18,2.6879973,"{""type"":""Point"",""coordinates"":[116.27761484714985,36.731439149564565]}"
000000000000000008b7,46,206,203,44,44,48,70,66,56,45,0,1,382,213,-87,-3,8,-29,8,10,0,19,-7,8,522,-25,-20,-28,-24,-23,-27,-2,747,-68,-15,7,-41,3,-5,-1,3.375876,335.875,0.07125112,96173.0,0.008183001,156.5,288.02,2.7289972,"{""type"":""Point"",""coordinates"":[110.900928897128,34.58653127903813]}"
000000000000000019ec,32,194,192,26,20,15,70,40,19,18,0,0,634,3630,-292,-14,43,-100,-21,-16,-10,47,-16,17,-1348,114,14,-36,12,0,-7,3,4180,-152,-51,36,-159,-20,-67,-12,19.002182,334.5,0.10250112,95887.0,0.0085645,157.625,287.09998,1.7489972,"{""type"":""Point"",""coordinates"":[111.31217840998414,33.27409298417952]}"
00000000000000001b01,32,195,192,27,22,17,67,38,18,20,0,0,349,1272,-188,0,2,-117,-13,-3,-2,43,-15,16,-1329,90,-9,4,45,-1,-36,3,2409,-110,-26,-6,-158,-34,-29,-6,16.214241,334.5,0.10250112,95887.0,0.0085645,157.625,287.09998,1.7489972,"{""type"":""Point"",""coordinates"":[111.3827838160644,33.248221279867415]}"
000000000000000015b2,35,199,197,29,25,21,90,41,19,24,0,0,60,-304,-182,-104,122,98,110,-163,2,51,-18,21,-242,79,65,-113,-110,-56,58,0,-214,-105,-93,89,54,56,-111,1,2.4072504,348.875,0.10250112,100837.0,0.0089205,150.125,289.22498,2.1749973,"{""type"":""Point"",""coordinates"":[114.07423032540854,33.438754208780104]}"
00000000000000001a59,36,199,197,30,26,22,89,46,21,24,0,0,58,16,-174,-100,126,147,152,-210,1,51,-18,21,-382,50,62,-126,-140,-89,100,0,-634,-88,-76,93,97,86,-125,3,2.893104,348.875,0.10250112,100837.0,0.0089205,150.125,289.22498,2.1749973,"{""type"":""Point"",""coordinates"":[114.02814551602117,33.45546246042737]}"
00000000000000000fff,35,197,195,29,23,18,78,27,13,20,0,0,34,-2235,-190,-197,186,28,92,-58,8,49,-20,22,1232,135,87,-98,-7,-28,-19,-5,-1219,-138,-155,134,5,54,3,5,1.4575207,341.0,0.10250112,101318.0,0.008643,173.375,289.305,1.7169973,"{""type"":""Point"",""coordinates"":[117.05430106863905,34.44935595333098]}"
00000000000000000ff1,34,198,196,29,25,21,86,48,28,25,0,0,45,1670,-231,-16,40,-189,-22,15,-3,50,-15,22,16,135,12,-22,80,12,-14,0,1589,-133,-42,53,-152,-32,32,-4,1.4588346,343.0,0.10250112,101133.0,0.0085565,163.125,288.935,1.8579972,"{""type"":""Point"",""coordinates"":[116.41209241671967,34.57548162662769]}"
