system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000037,37,35,37,64,60,202,46,1,56,-279,-94,-10,-3,52,0,-49,3,19,9,7,-356,47,16,-41,12,-2,34,1,-572,-88,-1,2,43,-7,-6,4,0.0,339.58334,0.080001116,100769.336,0.00886,161.08333,288.02664,2.131997,"{""type"":""Point"",""coordinates"":[114.28928385101412,33.65704504175049]}"
1_00000000000000000038,34,29,27,65,47,201,31,1,55,79,-153,-7,42,-32,13,-32,1,23,4,11,-325,110,25,-73,12,-28,21,1,-39,-138,20,18,-22,0,-10,1,2.2291129,338.5,0.07916778,100725.336,0.008821667,163.0,287.94333,1.8319973,"{""type"":""Point"",""coordinates"":[114.4375088291317,33.72199184859394]}"
1_00000000000000000039,37,36,37,64,62,204,49,1,54,365,-93,-10,42,-7,28,-38,-1,18,11,6,-365,45,40,-66,15,-32,32,1,78,-87,14,23,-2,18,-13,0,1.4498678,339.41666,0.080001116,100762.664,0.008847,161.66667,288.02,1.7653306,"{""type"":""Point"",""coordinates"":[114.53398593952407,33.69719924673678]}"
1_0000000000000000003a,41,36,36,45,45,202,39,1,55,256,-41,-18,28,-11,-4,-19,-1,8,13,-1,-294,3,1,-29,-23,-5,37,1,-116,-45,-5,20,-6,3,-6,1,6.558482,339.58334,0.080001116,100778.664,0.008874667,161.5,288.06,1.7506639,"{""type"":""Point"",""coordinates"":[114.63881940529058,33.618237485282364]}"
1_0000000000000000003b,31,27,24,63,42,199,25,1,50,-187,-205,33,12,-41,15,-17,2,27,6,14,176,114,-30,-26,-3,-17,12,-1,-302,-183,40,-2,-29,1,1,3,0.92740995,340.08334,0.080001116,100815.336,0.008910667,161.08333,288.14334,1.8333305,"{""type"":""Point"",""coordinates"":[114.85468448728787,33.6357528342203]}"
1_0000000000000000003c,32,28,27,57,47,200,31,1,48,-239,-129,-21,14,0,19,-18,3,24,8,13,-596,65,-11,-44,20,-36,21,3,-247,-143,-9,28,-17,23,2,3,1.4502836,339.66666,0.07750112,100824.664,0.008910334,161.58333,288.12,1.9113306,"{""type"":""Point"",""coordinates"":[114.94792874941649,33.73897210540546]}"
1_0000000000000000003e,31,28,25,60,41,201,26,1,46,-508,-180,-21,19,-32,11,28,4,28,4,15,-211,121,-34,-42,33,-33,-18,0,-464,-162,-23,10,-25,-1,37,4,2.411671,340.58334,0.07833445,100881.336,0.008917667,160.75,288.24664,2.0993307,"{""type"":""Point"",""coordinates"":[115.13819413226598,33.62524273303732]}"
1_0000000000000000003f,33,29,27,58,45,200,28,1,43,-594,-171,-4,32,-16,13,26,5,22,6,11,84,79,0,-24,-19,-44,6,-1,-482,-151,-13,31,-19,5,30,4,1.1147404,340.0,0.076667786,100890.664,0.008897333,161.33333,288.19998,2.2193305,"{""type"":""Point"",""coordinates"":[115.23278504291274,33.70366494326427]}"
1_00000000000000000041,36,35,35,56,51,201,39,1,42,88,-100,-36,39,9,2,-23,0,17,11,7,-899,5,8,-18,-3,0,28,5,109,-100,-32,43,-1,1,-11,0,0.0,340.16666,0.07500111,100909.336,0.008836334,162.41667,288.31665,2.530664,"{""type"":""Point"",""coordinates"":[115.50470548425292,33.694773495763705]}"
1_00000000000000000043,34,32,29,60,44,198,27,1,39,-422,-195,-12,17,-61,59,-31,4,25,6,13,-621,58,17,1,41,-51,19,3,-556,-164,-2,9,-55,46,8,5,2.1628964,339.75,0.07416778,100930.664,0.008817,164.16667,288.34,2.6973307,"{""type"":""Point"",""coordinates"":[115.74563517327168,33.65704504175049]}"
